Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-electrical-technician-international-trade-links-saudi-arabia-2-to-7-years-180425007975,Electrical Technician,Maintenance ,Not disclosed,Remote,23-Apr,"Maintenance, Electricals",2022-01
https://www.naukri.com/job-listings-electrical-technician-seagull-international-qatar-7-to-10-years-190425005910,Electrical Technician,Qatar Engineering & Construction (QCON),Not disclosed,Qatar,7-10 Yrs,"Electrical Maintenance, Maintenance, Electricals",2022-01
https://www.naukri.com/job-listings-electrical-technician-confidential-saudi-arabia-5-to-10-years-090425015915,Electrical Technician,Confidential,Not disclosed,Saudi Arabia,5-10 Yrs,"technician, electrical systems, electrician, Allen Bradley, VFDs, control panels, Siemens, PLCs",2022-01
https://www.naukri.com/job-listings-diploma-electrical-technician-openings-in-dubai-online-interview-jr-travel-service-dubai-united-arab-emirates-0-to-5-years-190425006728,Diploma Electrical Technician Job Openings in Dubai | Online Interview,JR Travel Service,3.5-5 Lacs PA,"Dubai, United Arab Emirates",0-5 Yrs,"Fire technician, Fire Safety, Dubai Jobs, Diploma Electrical, Electrical Engineering, Fire Alarm System, Fire Protection, Fire Engineering",2022-01
https://www.naukri.com/job-listings-electrical-technician-coe-seeker-adani-defence-and-aerospace-hyderabad-3-to-5-years-150425016209,Electrical Technician - CoE Seeker,Adani Defence and Aerospace,Not disclosed,Hyderabad,3-5 Yrs,"Circuit, PCB, Digital Circuits, Capacitors, Problem Solving, Analog Circuits, Risk Management, Digital",2022-01
https://www.naukri.com/job-listings-electrical-technicians-male-for-jodhpur-rajasthan-power-partner-jodhpur-0-to-5-years-210425011125,"Electrical Technicians (MALE) For Jodhpur, Rajasthan",Power Partner,1.75-3 Lacs PA,Jodhpur(Tanawada),0-5 Yrs,"ELECTRICAL TECHNICIAN, Electrical Maintenance, ITI Electrical, Electrical Equipment, Maintenance, Equipment, ITI, Electricals",2022-01
https://www.naukri.com/job-listings-electrical-technician-engineer-facility-executive-bangalore-efs-facilities-services-bengaluru-0-to-5-years-160425010101,Electrical Technician / Engineer / Facility Executive  - Bangalore,EFS Facilities Services,"50,000-2.5 Lacs PA",Bengaluru(Gurappana Palya +6),0-5 Yrs,"Electrical Maintenance, ITI Electrical, DG Sets, HT Panels, Electrical Equipment, UPS, Circuit Breakers, Panel Wiring",2022-01
https://www.naukri.com/job-listings-we-are-hiring-electrical-technician-b-c-license-sodexo-oragadam-sriperumbudur-0-to-5-years-010425008328,We are hiring Electrical Technician(B/C license),Sodexo,Not disclosed,"Oragadam, Sriperumbudur",0-5 Yrs,"Electrical Maintenance, Power Transformers, Power Control, DG, Electrical Installation, LT, Transformers, Electrical Works",2022-01
https://www.naukri.com/job-listings-wanted-electrical-engineer-technician-c-or-b-license-perambalur-sodexo-perambalur-3-to-8-years-100425006428,Wanted Electrical Engineer / Technician - C or B License @ Perambalur,Sodexo,Not disclosed,Perambalur,3-8 Yrs,"Electrical Maintenance, C License, Electrical Works, C, Electricals, Maintenance, Licensing",2022-01
https://www.naukri.com/job-listings-electrical-technician-engineer-natural-capsules-bengaluru-1-to-2-years-170425500204,Electrical Technician / Engineer,Natural Capsules,Not disclosed,Bengaluru,1-2 Yrs,"ITI electrical, Electronics, UPS, Electrical maintenance, Maintenance, Electricals, ITI, Engineering",2022-01
https://www.naukri.com/job-listings-electrical-technician-gsh-group-pallavaram-chennai-sholinganallur-0-to-1-years-270325011769,Electrical Technician,GSH Group,1.5-2.5 Lacs PA,"Pallavaram, Chennai(Pallavaram), Sholinganallur",0-1 Yrs,"DG, HT Panels, Transformers, LT Panels, Electrical Equipment, Panels, Equipment, LT",2022-01
https://www.naukri.com/job-listings-electrical-technician-navi-mumbai-pawane-midc-torrent-diagnostics-navi-mumbai-7-to-12-years-220425006988,"Electrical Technician - Navi Mumbai, Pawane MIDC",Torrent Diagnostics,Not disclosed,Navi Mumbai,7-12 Yrs,"Electrical Maintenance, ITI Electrical, PLC, electrical panels, Circuit Breakers, Electrical Works, maintenance, House Wiring",2022-01
https://www.naukri.com/job-listings-electrician-technician-electrical-department-ami-organics-ltd-jhagadia-2-to-7-years-310325007788,Electrician/Technician- Electrical Department,Ami Organics,Not disclosed,Jhagadia,2-7 Yrs,"DG Sets, VFD, Electrical Equipment, Transformers, LT Panels, PCC, Switchgear, Control Panel",2022-01
https://www.naukri.com/job-listings-electrical-technician-gsh-group-pallavaram-chennai-sholinganallur-0-to-1-years-020425012616,Electrical Technician,GSH Group,1-2 Lacs PA,"Pallavaram, Chennai(Sholinganallur), Sholinganallur",0-1 Yrs,"Transformers, HT, DG, VCB, LT, LT Breakers, Electricals, Breakers",2022-01
https://www.naukri.com/job-listings-electrical-technician-roots-recruitment-services-saudi-arabia-3-to-5-years-160425011214,Electrical Technician,Roots Recruitment Services,6.5-9.5 Lacs PA,Saudi Arabia,3-5 Yrs,"HDPE, Ductile Iron, wastewater pipelines, Carbon Steel, Concrete Technology, Civil, Mechanical, GRC",2022-01
https://www.naukri.com/job-listings-electrical-technician-astral-adhesives-ahmedabad-1-to-6-years-210425015928,Electrical Technician,Astral Adhesives,2.5-3.5 Lacs PA,Ahmedabad(Santej),1-6 Yrs,"Electrical Maintenance, Preventive Maintenance, Preventive, Electricals, Maintenance",2022-01
https://www.naukri.com/job-listings-diploma-electrical-technician-jobs-in-dubai-uae-art-technologies-chennai-thiruvananthapuram-dubai-0-to-2-years-090425005608,Diploma Electrical Technician Jobs in Dubai | UAE,ART TECHNOLOGIES,4.25-5.5 Lacs PA,"Dubai, Chennai, Thiruvananthapuram",0-2 Yrs,"Cable Laying, Electrician Activities, Panel Wiring, Electrical Works, Electricians, Panel Testing, Switchgear, Cable Tray",2022-01
https://www.naukri.com/job-listings-electrical-technician-staffing-mart-surat-bharuch-ankleshwar-surat-1-to-2-years-180425005921,Electrical Technician,Staffing Mart Surat,2-3 Lacs PA,"Bharuch, Ankleshwar, Surat",1-2 Yrs,"Electrical Maintenance, Electrical Engineering, ELECTRICAL, ITI Electrical, DIPLOMA ELECTRICAL, MAINTENANCE TECHNICIAN, ELECTRICAL TECHNICAL, BE ELECTRICAL",2022-01
https://www.naukri.com/job-listings-electrical-technician-staffing-mart-surat-bharuch-ankleshwar-vadodara-1-to-2-years-220425004062,Electrical Technician,Staffing Mart Surat,2-3 Lacs PA,"Bharuch, Ankleshwar, Vadodara",1-2 Yrs,"Electrical Maintenance, Electrical Engineering, ELECTRICAL, ITI Electrical, DIPLOMA ELECTRICAL, MAINTENANCE TECHNICIAN, ELECTRICAL TECHNICAL, BE ELECTRICAL",2022-01
https://www.naukri.com/job-listings-electrical-technician-jv-hr-management-private-limited-bengaluru-3-to-5-years-220425015021,Electrical Technician,JV Hr Management,Not disclosed,Bengaluru,3-5 Yrs,"ETP, WTP, Water Treatment Plant, RO Plant, Effluent Treatment Plant, RO, Effluent treatment, Water treatment",2022-01
https://www.naukri.com/job-listings-electrical-technician-dewan-consultants-united-arab-emirates-3-to-5-years-100425013844,Electrical Technician,Required for a Leading Facility Management Company in UAE,Not disclosed,United Arab Emirates,3-5 Yrs,"Electrical system, electric codes, Troubleshooting, Electrical Equipment, Electricals, System, Coding",2022-01
https://www.naukri.com/job-listings-electrical-technician-openings-in-dubai-uae-jr-travel-service-dubai-united-arab-emirates-0-to-5-years-110425014347,Electrical Technician Job Openings in Dubai | UAE,JR Travel Service,4-4.5 Lacs PA,"Dubai, United Arab Emirates",0-5 Yrs,"ITI Electrical, Utility Maintenance, Electrical Works, Wiring, Electrical Installation, Electrical Maintenance, Electrician Activities, Control Panel",2022-01
https://www.naukri.com/job-listings-electrical-technician-superb-enterprises-saudi-arabia-2-to-7-years-230425004387,Electrical Technician,Superb Enterprises,5-13 Lacs PA,Saudi Arabia,2-7 Yrs,"Electricals, Electrical Maintenance, ITI Electrical, Switchgear, VFD, Electrical Erection, PLC, PLC Panel",2022-01
https://www.naukri.com/job-listings-electrical-technician-ag-891-asiapower-recruitment-consultants-kuwait-5-to-8-years-110425013797,"Electrical Technician (AG - 891)	",Asiapower,Not disclosed,Kuwait,5-8 Yrs,"Electrical, Operation, Maintenance, Pump, Water, Technician, Waste, Waste management",2022-01
https://www.naukri.com/job-listings-electrical-technician-superb-enterprises-saudi-arabia-1-to-3-years-190425003584,Electrical Technician,KSA,14-15 Lacs PA,Saudi Arabia,1-3 Yrs,"Electrical Maintenance, Variable Frequency Drives, speed convertor, Inspection, Troubleshooting, PLC circuit, PLC, Drives",2022-01
https://www.naukri.com/job-listings-electrical-technician-overseas-development-and-employment-promotion-consultants-saudi-arabia-0-to-2-years-260325017520,Electrical Technician,EFS Facilities Services,3.75-4 Lacs PA,Hybrid - Saudi Arabia,0-2 Yrs,"Electrical Maintenance, Electrical Installation, Electrical Works, House Wiring, Electrical Engineering, Maintenance, Electricals, Engineering",2022-01
https://www.naukri.com/job-listings-electrical-technician-usv-pvt-ltd-vadodara-usv-savli-vadodara-4-to-7-years-110425017413,Electrical Technician - USV Pvt Ltd - Vadodara,USV,Not disclosed,"Savli, Vadodara",4-7 Yrs,"Electrical Maintenance, DG Sets, Pharmaceutical, 11Kv, DG, Maintenance, Electricals, Set",2022-01
https://www.naukri.com/job-listings-electrical-technician-shiraa-global-projects-coimbatore-1-to-5-years-090425017581,Electrical Technician,Shiraa Global Projects,1.8-3 Lacs PA,Coimbatore(Sowripalayam ),1-5 Yrs,"Electrical Works, Wiring, Panel Testing, ITI Electrical, Electrical Installation, Control Panel, Panel Wiring, Panels",2022-01
https://www.naukri.com/job-listings-electrical-technician-sterling-system-controls-patna-0-to-3-years-230325002543,Electrical Technician,Sterling System & Controls,"50,000-3 Lacs PA",Remote,0-3 Yrs,"Electrical Maintenance, Electrical Erection, EOT Cranes, Panel Wiring, VFD Drives, Electrical Wiring, Panels, Maintenance",2022-01
https://www.naukri.com/job-listings-electrical-technician-archance-hr-sathyamangalam-0-to-1-years-061224015414,Electrical Technician,AVT,"50,000-1.5 Lacs PA",Sathyamangalam,0-1 Yrs,"Distillation, operator, Operating, Electricals, Operations",2022-01
https://www.naukri.com/job-listings-electrical-technician-career-club-hr-management-llp-nashik-0-to-1-years-040225500168,Electrical Technician,CAREER CLUB HR MANAGEMENT LLP,Not disclosed,Nashik,0-1 Yrs,Electricals,2022-01
https://www.naukri.com/job-listings-electrical-technician-vr-448-asiapower-recruitment-consultants-saudi-arabia-5-to-10-years-110425019658,Electrical Technician (VR - 448),Asiapower,Not disclosed,Saudi Arabia,5-10 Yrs,"Technician, Aramco, Electrical, Oil & Gas, Gas, Virtual Reality, Oil, Electricals",2022-01
