Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-supply-chain-analyst-te-connectivity-india-private-limited-bengaluru-3-to-6-years-180425911111,Supply Chain Analyst,TE Connectivity,Not disclosed,Bengaluru,3-6 Yrs,"Supply chain, tableau, visualization, SAP, supply chain management, Inventory Management, power bi, Share, Point",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-avantor-performance-materials-india-private-limited-pune-6-to-8-years-170425919689,Supply Chain Analyst,Avantor,Not disclosed,Pune,6-8 Yrs,"Supply Chain Management, supply chain analytics, SAP, Power BI, data governance, Tableau, Oracle, Governance",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-axalta-coating-systems-gurugram-5-to-7-years-160425504794,Supply Chain Analyst,Axalta,Not disclosed,Gurugram,5-7 Yrs,"Procurement, Supply chain, ERP, SAP, Commercial vehicle, Analytical, Oracle, Forecasting",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-tycot-electronics-bengaluru-3-to-6-years-180425502646,SUPPLY CHAIN ANALYST,Tycot Electronics Bengaluru,Unpaid,Bengaluru,3 months duration,Not Specified,2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-intellihealth-solutions-mumbai-3-to-4-years-110425019070,Supply Chain Analyst,Intellihealth Solutions,5-6 Lacs PA,Mumbai(Vikhroli),3-4 Yrs,"Supply Chain Optimization, Data Analysis, Data Analytics, Supply Chain, Power Bi, Data Visualization, Advanced Excel, Tableau",2022-01
https://www.naukri.com/job-listings-financial-analyst-supply-chain-finance-reliance-retail-bengaluru-4-to-9-years-090824017322,Financial Analyst - Supply Chain Finance,Reliance Retail,Not disclosed,Bengaluru(Yelahanka),4-9 Yrs,"Financial Analysis, Cost Analysis, Risk Mitigation, Cost Optimization, Cost Reduction, Benchmarking, Financial Modelling, Cost",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-aimler-solutions-noida-5-to-8-years-020824502601,Supply Chain Analyst,Aimler Solutions,Not disclosed,Noida,5-8 Yrs,"Procurement, Supply chain management, Analytical, Market research, Scheduling, Customer service, Continuous improvement, Analytics",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-nalco-water-india-limited-pune-4-to-6-years-200325502286,Supply Chain Analyst,Nalco Water,Not disclosed,Pune,4-6 Yrs,"Procurement, Supply chain, ERP, Automation, Networking, Data management, Analytical, Strategic sourcing",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-sera-it-solutions-chennai-1-to-5-years-290824502319,Supply chain analyst,Sera It Solutions,Not disclosed,Chennai,1-5 Yrs,"Supply Chain Analyst, Supply chain, Supply",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-versutus-management-services-private-limited-chennai-2-to-3-years-050424500941,Supply Chain Analyst,Versutus Management Services,Not disclosed,Chennai,2-3 Yrs,"Supply Chain Analyst, Compliance, Compliance management, Packaging, Agile, Layout planning, RFQ, Freight forwarding",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-nalco-water-india-limited-pune-1-to-4-years-100325503502,Supply Chain Analyst,Nalco Water,Not disclosed,Pune,1-4 Yrs,"Supply chain, Computer science, Data analysis, Automation, SAP, Data management, Analytical, Data collection",2022-01
https://www.naukri.com/job-listings-croma-power-bi-supply-chain-analyst-thane-naukri-employer-services-thane-2-to-7-years-240325021282,"Croma - Power Bi Supply Chain Analyst, Thane",Croma,Not disclosed,Thane,2-7 Yrs,"Power Bi, Dashboards, Power Bi Reports, reports, Power Bi Dashboards, Supply chain, Birt, Supply",2022-01
https://www.naukri.com/job-listings-field-inventory-program-analyst-supply-chain-india-medtronic-pvt-ltd-gurugram-5-to-7-years-141124500424,Field Inventory Program Analyst-Supply Chain,Medtronic,Not disclosed,Gurugram,5-7 Yrs,"Supply chain, Product quality, Programmer Analyst, Project management, Process improvement, Analytical, Healthcare, Talent management",2022-01
https://www.naukri.com/job-listings-oracle-ebs-supply-chain-purchasing-analyst-developer-intelex-technologies-ulc-bengaluru-2-to-5-years-101224503069,Oracle EBS Supply Chain purchasing Analyst/Developer,Intelex Technologies Ulc,Not disclosed,Bengaluru,2-5 Yrs,"Supply chain, Automation, Production support, PLSQL, Healthcare, Toad, Product design, Release management",2022-01
https://www.naukri.com/job-listings-oracle-ebs-supply-chain-purchasing-analyst-intelex-technologies-ulc-bengaluru-2-to-5-years-171224503440,Oracle EBS Supply Chain purchasing Analyst,Intelex Technologies Ulc,Not disclosed,Bengaluru,2-5 Yrs,"Procurement, Automation, Project management, Information security, Transition, Agile, Healthcare, EDI",2022-01
https://www.naukri.com/job-listings-analyst-healthcare-rcm-and-supply-chain-excel-expert-300-plus-consultant-bengaluru-2-to-4-years-240325004216,Analyst -Healthcare - RCM and Supply chain- Excel Expert,.,Not disclosed,Bengaluru,2-4 Yrs,"Revenue Cycle Management, Healthcare Analytics, Excel Powerpoint, Healthcare, Supply Chain, RCM, Medical Billing, Medical",2022-01
https://www.naukri.com/job-listings-oracle-support-analyst-supply-chain-modules-astec-equipment-india-llp-ahmedabad-3-to-8-years-240325018111,Oracle Support Analyst (Supply Chain modules),Astec Equipment India Llp,Not disclosed,Remote,3-8 Yrs,"Bi Publisher, Fbdi, Adfdi, SQL, Bi, Publishing, Supply chain, Oracle Support",2022-01
https://www.naukri.com/job-listings-senior-analyst-supply-chain-management-utc-aerospace-systems-bengaluru-2-to-4-years-160425500728,Senior Analyst-Supply Chain Management,UTC  Aerospace Systems,Not disclosed,Bengaluru,2-4 Yrs,"Supply chain, PLM, Supply chain management, ERP, French, SAP, Scheduling, Risk management",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-product-lifecycle-management-eosit-pvt-ltd-bengaluru-7-to-10-years-160425506789,Supply Chain Analyst - Product Lifecycle Management,EOS It Solutions,Not disclosed,Bengaluru,7-10 Yrs,"PLM, Supply chain, Change management, SAP, Manager Quality Assurance, Data management, Project management, Agile",2022-01
https://www.naukri.com/job-listings-supply-chain-analyst-product-lifecycle-management-eos-it-solutions-bengaluru-7-to-10-years-160425506784,Supply Chain Analyst - Product Lifecycle Management,EOS It Solutions,Not disclosed,Bengaluru,7-10 Yrs,"PLM, Supply chain, Change management, SAP, Manager Quality Assurance, Data management, Project management, Agile",2022-01
https://www.naukri.com/job-listings-supply-chain-operations-head-for-mfg-company-proffer-mumbai-20-to-25-years-130425001467,Supply Chain & Operations Head For mfg company,Job Proffer,50-65 Lacs PA,Mumbai(Andheri),20-25 Yrs,"Supply Chain Management, Logistics Operations, Supply Chain Operations, Logistics, Management, Company, Supply chain, Operations",2022-01
https://www.naukri.com/job-listings-chief-operating-officer-supply-chain-operations-proffer-mumbai-20-to-30-years-100425015789,Chief Operating Officer - Supply Chain & Operations,Job Proffer,50-60 Lacs PA,Mumbai(Andheri),20-30 Yrs,"People Management Skills, Operations, Supply Chain, Procurement, EXIM, Logistics, Operating, People management",2022-01
https://www.naukri.com/job-listings-supply-chain-plan-analyt-senior-analyst-accenture-solutions-pvt-ltd-mumbai-5-to-8-years-080425912086,Supply Chain Plan&Analyt Senior Analyst,Accenture,Not disclosed,Mumbai,5-8 Yrs,"vendor management, supply planning, demand planning, supply, supply chain planning, logistics management, warehouse management, purchase",2022-01
https://www.naukri.com/job-listings-relationship-manager-supply-chain-tata-capital-ltd-mumbai-2-to-6-years-190624500574,Relationship Manager-Supply Chain,Tata Capital,Not disclosed,Mumbai,2-6 Yrs,"logistics management, warehouse operations, warehouse management, logistics operations, purchase, logistics, inventory, supply",2022-01
https://www.naukri.com/job-listings-sr-d-t-analyst-supply-chain-general-mills-inc-mumbai-5-to-8-years-270325504061,Sr. D&T Analyst - Supply Chain,General Mills,Not disclosed,Mumbai,5-8 Yrs,"Supply chain, Automation, SAP, Demand planning, Market intelligence, Employee engagement, Data quality, Business strategy",2022-01
https://www.naukri.com/job-listings-sr-d-t-analyst-supply-chain-general-mills-mumbai-all-areas-7-to-12-years-270325026093,Sr. D&T Analyst Supply Chain,General Mills,12-22 Lacs PA,Hybrid - Mumbai (All Areas),7-12 Yrs,"SAP PP, MES, MRP, Implementation, SR, T, PP, Supply",2022-01
https://www.naukri.com/job-listings-sr-d-t-analyst-supply-chain-general-mills-inc-mumbai-2-to-8-years-121224505277,Sr. D&T Analyst - Supply Chain,General Mills,Not disclosed,Mumbai,2-8 Yrs,"Supply chain, Plant operations, Automation, SAP, Market intelligence, Employee engagement, Warehouse management, Operations",2022-01
