Job Title,Company,Salary,Experience,Day Posted,Skills List,Location List
Actuarial Analyst,Parasmani Switch Tech,6.0,0.5,2022-01,Actuarial Analyst,Vadodara
Actuarial Analyst,Parasmani Switch Tech,6.0,0.5,2022-01,Actuarial,Vadodara
Actuarial Analyst,Accenture,6.0,4.0,2022-01,prophet,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,actuarial,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,reinsurance,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,life insurance,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,statistics,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,financial analysis,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,risk management,Gurugram
Actuarial Analyst,Accenture,6.0,4.0,2022-01,data analysis,Gurugram
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,Pricing Analysis,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,actuarial science,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,Technical Noted,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,GI,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,General Insurance,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,Non Life,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,SAS,Mumbai
Actuarial Analyst,SBI General Insurance,6.0,4.0,2022-01,Pricing,Mumbai
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Health insurance,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Time management,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Focus,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Billing,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Mathematics,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Actuarial Analyst,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Statistics,Nagar
Actuarial Analyst,Davies Group,6.0,2.5,2022-01,Health,Nagar
Actuarial Analyst,Swiss Re,6.0,1.5,2022-01,Reinsurance,Bengaluru
