Job Title,Company,Salary,Experience,Day Posted,Skills List,Location List
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,CA and Cost Accountant,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,supplier negotiations,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,minimum experience of 7 to 8 years with a track record,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,cost modeling,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,variance analysis,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,procurement processes,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,and  financial planning.,Mumbai
Cost and Management Accountant,Financial Services Ltd,30.0,7.5,2022--01,Costing,Mumbai
Cost and Management Accountant,EY,37.0,4.5,2022--01,Order management,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Procurement,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Supply chain,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Assurance,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Test scripts,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Consulting,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Test cases,Thiruvananthapuram
Cost and Management Accountant,EY,37.0,4.5,2022--01,Warehouse management,Thiruvananthapuram
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Supply chain,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Procurement,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Costing,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Bidding,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Networking,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Renewable energy,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Contract management,New Delhi
Cost and Management Accountant,INDIRA GANDHI INTERNATIONAL AIRPORT (IGIA),5.0,11.0,2022--01,Analytical,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Supply chain,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Procurement,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Costing,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Bidding,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Networking,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Renewable energy,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Contract management,New Delhi
Cost and Management Accountant,GMR HYDERABAD INTERNATIONAL AIRPORT LIMITED,5.0,11.0,2022--01,Analytical,New Delhi
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Data Analysis,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Budget Forecasting,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Cost Reduction & Control,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Expense Analysis,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Credit Control Management,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Asset Management,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Secondary Distribution,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Expense Analysis,Ahmedabad
Cost and Management Accountant,Vadilal,12.5,6.5,2022--01,Variance Analysis,Ahmedabad
Cost and Management Accountant,Ganesh Diagnostic & Imaging Centre,5.0,2.5,2022--01,Analytical skills,New Delhi
Cost and Management Accountant,Ganesh Diagnostic & Imaging Centre,5.0,2.5,2022--01,Tally,New Delhi
Cost and Management Accountant,Ganesh Diagnostic & Imaging Centre,5.0,2.5,2022--01,Financial statements,New Delhi
