Job Title,Company,Salary,Experience,Day Posted,Skills List,Location List
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Relationship management,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Team management,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Wealth management,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,MIS,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Project management,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Investment banking,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Risk management,Mumbai
Insurance Broker,Capitalsquare Advisors,9.0,7.5,2022-01,Fund raising,Mumbai
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,Marine Insurance,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,Fire Insurance,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,broker channel management,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,Corporate Broking,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,Commercial Line,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,group health insurance,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,Commercial,Hybrid - Bhubaneswar
Insurance Broker,Sundaram Finance (SFL),12.25,12.5,2022-01,Mgr,Hybrid - Bhubaneswar
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,general insurance,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,property insurance,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,tender,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,risk management,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,Marine Insurance,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,underwriting,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,motor insurance,Kenya
Insurance Broker,Chester Insurance Brokers,4.0,6.5,2022-01,business development,Kenya
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Relationship management,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Basic,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Interpersonal skills,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Claims,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,IT skills,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Relationship,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Sales Executive,Pune
Insurance Broker,Toyota Tsusho,3.0,1.5,2022-01,Japanese,Pune
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Insurance Sales,Ujjain
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Insurance Sales,Satara
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Insurance Sales,Surat
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Insurance Sales,Raipur
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Insurance Sales,Vadodara
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Agency Development,Ujjain
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Agency Development,Satara
Insurance Broker,Mahindra Insurance Brokers Pvt. Ltd,5.0,4.5,2022-01,Agency Development,Surat
